Socio_economic_class,Food_Eating _Habits,Native_Language,SEX,AGE,EDU,Household_Size,CHILD,Television,Affluence_Index
4,3,10,1,4,4,2,4,1,2
3,2,10,2,2,4,4,2,1,19
2,3,10,2,4,5,6,4,1,23
4,3,5,2,4,5,5,5,1,0
4,1,10,2,3,4,4,3,1,10
4,3,10,2,3,4,5,2,1,13
4,2,10,2,4,1,3,2,1,11
4,3,10,2,2,4,5,3,1,0
4,3,10,2,4,4,6,4,1,17
1,3,5,1,4,7,3,4,1,6
4,3,10,2,4,4,6,4,1,30
3,3,10,2,1,4,5,4,1,18
4,3,17,2,3,3,4,3,2,8
4,3,17,2,3,3,6,4,1,10
3,1,13,2,4,3,6,4,1,15
4,3,10,2,4,3,5,1,2,13
4,3,10,2,4,3,4,4,1,11
4,3,10,2,4,1,6,2,1,4
4,3,17,2,3,4,5,2,1,14
3,3,5,2,2,5,5,5,1,0
4,3,5,2,2,5,5,5,1,0
2,3,17,2,2,5,5,2,1,4
4,3,10,2,3,4,7,4,1,11
3,3,5,2,3,5,5,5,1,0
4,3,5,2,3,5,5,5,1,0
3,3,10,2,3,5,4,3,1,18
4,1,4,2,4,4,7,4,1,9
3,3,10,2,2,3,2,4,1,11
4,3,10,2,2,4,6,3,1,13
4,3,5,2,2,5,5,5,1,0
4,1,10,2,4,4,4,2,2,4
4,3,10,2,2,1,5,3,1,9
4,3,5,2,2,5,5,5,1,0
2,3,5,2,3,1,3,4,2,4
4,3,16,2,2,4,5,2,1,5
3,3,16,2,2,1,5,2,1,8
4,3,10,2,2,4,3,2,1,2
4,2,10,2,4,3,4,2,1,10
4,3,10,2,4,5,6,4,2,11
4,3,5,2,4,5,5,5,1,0
3,1,4,2,4,1,4,4,2,13
4,3,10,2,1,1,6,1,2,6
2,3,16,2,4,1,9,4,1,14
4,3,5,2,2,5,5,5,1,0
4,1,17,2,4,4,8,3,1,8
3,3,10,2,4,4,4,4,1,11
4,3,5,2,3,5,5,5,1,0
4,3,10,2,4,1,3,4,1,9
4,3,5,2,3,5,5,5,1,0
3,1,4,2,4,7,9,2,1,37
4,3,10,2,4,1,5,1,2,10
4,1,4,2,2,4,10,3,1,14
2,1,4,2,2,1,6,1,1,12
4,3,17,2,1,4,15,1,1,37
3,3,10,2,4,1,4,4,1,7
4,3,10,2,1,4,9,3,1,16
4,3,10,2,4,3,5,4,1,17
4,3,6,2,4,5,4,4,1,11
3,1,5,2,3,1,5,4,1,10
4,1,4,2,4,5,4,4,1,15
4,3,10,1,4,5,3,4,1,16
4,3,15,1,2,4,8,3,1,7
4,3,10,2,3,3,5,4,1,13
2,3,10,2,4,1,4,4,1,5
3,2,10,2,4,4,5,1,1,17
4,2,16,2,4,1,2,4,1,6
4,3,10,2,2,1,10,3,1,10
2,3,10,2,4,5,8,2,1,26
4,3,10,2,4,1,5,4,2,9
4,2,10,2,4,4,6,4,1,15
4,3,10,2,4,4,2,4,1,4
3,1,4,2,4,2,5,2,1,13
4,3,10,2,4,1,4,4,1,2
4,1,4,2,3,4,5,4,1,7
4,3,10,1,1,1,6,4,2,8
1,1,10,2,2,5,4,1,1,19
4,3,10,2,4,1,2,2,1,1
4,1,5,2,3,1,3,4,1,2
3,3,10,2,4,5,6,1,1,22
4,3,10,2,4,1,3,4,2,12
3,3,10,2,4,1,4,1,1,6
4,3,10,2,4,1,8,4,1,13
2,3,10,2,4,5,3,4,1,2
4,3,8,2,4,3,2,4,1,11
4,3,5,2,3,5,5,5,1,0
4,3,10,2,3,5,8,2,1,19
3,3,9,2,4,1,4,4,1,16
4,3,10,2,4,1,6,4,1,22
3,3,5,2,4,5,5,5,1,0
4,3,10,2,3,3,6,4,1,19
2,1,15,2,4,5,3,4,1,15
3,3,17,2,2,4,8,2,2,14
4,3,10,2,2,4,2,4,2,5
3,3,10,2,4,4,3,4,1,13
4,3,10,2,2,5,2,4,1,18
4,3,10,2,2,5,6,3,1,17
4,3,10,2,2,4,7,3,2,5
3,3,10,2,2,6,5,2,1,6
4,3,10,2,4,1,8,2,2,7
2,3,10,2,3,5,4,4,1,40
4,3,10,2,3,3,8,3,1,2
3,3,4,2,3,4,5,2,1,10
4,3,10,2,3,4,8,2,1,13
4,3,17,2,3,3,9,3,1,7
4,3,10,2,2,3,5,2,2,11
4,3,8,2,2,4,5,4,1,15
4,3,5,2,1,5,7,1,1,27
4,3,15,2,3,4,5,3,1,11
3,3,15,2,2,5,4,1,1,13
4,3,10,2,2,5,5,2,1,8
4,3,10,2,2,1,5,2,1,4
3,1,10,2,3,4,4,3,1,7
3,3,10,1,4,3,4,4,1,14
2,3,5,2,4,2,4,4,1,25
4,2,10,2,4,1,5,4,1,17
3,3,10,2,3,5,5,4,1,18
4,3,10,2,3,4,8,2,1,12
3,3,10,2,3,4,3,4,2,8
4,3,10,2,3,4,6,2,1,19
4,3,10,2,4,4,5,4,1,12
4,3,10,2,4,3,6,4,1,11
3,3,10,2,4,4,5,4,1,17
4,1,10,2,4,3,6,4,1,13
2,3,9,2,4,5,7,4,1,25
1,3,10,2,3,7,6,2,1,16
4,3,10,2,3,4,6,2,1,9
3,3,17,2,4,5,5,4,1,13
4,1,4,2,3,4,4,4,1,13
2,3,10,2,3,5,5,2,1,22
4,3,16,2,4,2,6,1,1,10
3,3,10,2,3,5,6,4,1,28
2,3,10,2,4,5,5,1,1,16
1,1,4,2,3,6,4,4,1,37
3,3,10,2,3,5,4,2,1,19
4,3,5,2,1,5,5,5,1,0
1,1,4,2,3,8,3,2,1,53
3,3,10,2,3,5,4,4,1,15
4,3,10,2,2,5,4,1,1,1
2,1,10,2,3,2,4,2,1,14
3,3,10,2,4,4,5,4,2,13
4,3,10,2,3,1,3,4,2,9
4,3,10,2,3,1,9,2,1,23
4,3,10,2,4,5,6,2,1,3
4,3,10,2,2,4,5,2,1,4
3,3,6,2,3,4,4,2,1,15
4,2,10,2,3,1,5,2,1,10
