Avg. Price,Pur_Vol_No_Promo-%,Pur_Vol_Promo_6_%,Pur_Vol_Other_Promo_%,PropCat_5,PropCat_6,PropCat_7,PropCat_8,PropCat_12,PropCat_15
10.19,100,0,0,50.2,0,0,0,2.8,34
12.03,88.7,9.7,1.6,45.6,34.7,2.7,1.6,0,0
8.44,94.2,1.9,3.9,24.5,12.1,3.4,1.1,1.6,0.3
7.6,100,0,0,40,0,0,0,0,0
7.12,61.4,14.5,24.1,80.7,0,0,4.8,0,0
9.38,100,0,0,48.7,9.9,0,0.7,0,27
10.13,97.7,2.3,0,82.2,0,2.3,0.8,0,10.3
6.12,93.5,0,6.5,6.5,0,0,0,0.8,3.2
11.75,89.8,10.2,0,70.5,28,0,0,0,0
13.29,100,0,0,23.9,46.3,15.1,0,0,2.7
9.56,81.7,17.4,0.9,78.6,0,12,0,0,1.8
11.15,98.9,1.1,0,44.1,0,42.2,0,0,1.8
7.44,100,0,0,97.8,0.7,0,0,0,0
8.26,100,0,0,58.9,0,9.1,0,0,0
10.02,100,0,0,63.4,0,4.9,0,0,24
9.46,100,0,0,42.4,1.9,28.7,0,0.9,0
9.99,88.6,5.1,6.3,49.1,2.3,7,11.7,0,15.7
9.54,100,0,0,71.1,3.4,0,0,0,0
9.09,91.7,8.3,0,85.8,2.8,0,5.2,0,0
18.3,33.3,66.7,0,0,0,22.2,0,33.3,0
5.75,57.8,0,42.2,6.3,0,0,0,0,0
5.75,96,0,4,2.6,0,0,0,0,0
5.83,94.6,0.7,4.7,0.5,0,0,0,0,0
6.94,100,0,0,18.8,0,0,0,0,0
10.62,100,0,0,0,0,8,31.9,0,0
12.89,97.3,0,2.7,41.2,3.7,10.5,26.9,3.6,7.8
10.56,100,0,0,98.1,0,0,0,0,0
10.64,99.4,0.6,0,84.5,0,1.2,0,0,0
8.63,88.3,3.4,8.2,91.5,0,0.9,7.6,0,0
6.31,100,0,0,13.2,0,0,0,0,0
5.73,100,0,0,4.6,0,0,0,0,0
9.83,93,0,7,63.9,6,14,0,0,0
7.05,100,0,0,28.6,0,0,0,0,0
5.67,100,0,0,0,0,0,0,0,0
5.62,95.2,0,4.8,0,0,0,0,0,0
10.17,84.6,13,2.4,68.1,17.4,1.2,4.4,0,1.6
7.51,95.8,4.2,0,83.3,0,8.3,0,0,4.2
8.95,100,0,0,26.9,0,0,70.1,0,0
5.67,100,0,0,0,0,0,0,0,0
8.38,100,0,0,33.8,12,0,0,0,0
6.53,97.8,2.2,0,9,2.2,1.9,0,0,84
6.43,100,0,0,5.8,0,0.8,0.5,0,0
6.74,92.3,0,7.7,0,6.4,1.9,0,0.4,0
5.67,100,0,0,0,0,0,0,0,0
7.22,100,0,0,100,0,0,0,0,0
11.91,95.2,4.8,0,0,10.6,5.3,4.8,0,0
7.8,94.9,5.1,0,86.6,0,0,0,1.9,0
9.6,100,0,0,36.2,0.8,54.1,6.9,0,0
5.67,100,0,0,0,0,0,0,0,0
